"Method","Variable","Pop_Predicted","Predicted_Prop_Pay_Avg","Predicted_SE","Predicted_CI_low","Predicted_CI_high","Actual_Prop_Pay_Avg","Actual_SE","Actual_CI_low","Actual_CI_high","Prop_Pay_Avg_Difference","Correct_Prop_Pay","Incorrect_Prop_Pay","Accuracy","Dist_Accuracy"
"logit","pred_type",20494656.0252024,0.88154515697444,0.00347412650679574,0.87473586902112,0.888354444927759,0.639779632872492,0.00926216206807921,0.621625795219056,0.657933470525927,0.241765524101948,7296520.37956652,10092269.6108311,0.419610587257411,7296520.37956652
"random","pred_type",23513371.5898148,0.899828582533398,0.00318405712970633,0.893587830559174,0.906069334507623,0.5927716940573,0.00944065145287262,0.574268017209669,0.61127537090493,0.307056888476099,7692981.39718118,10959258.1721793,0.41244277227804,7692981.39718118
"KNN1","pred_type",18066497.5132235,0.865743953347713,0.00434082233741943,0.857235941566371,0.874251965129055,0.606045418569901,0.0104349306650402,0.585592954466422,0.626497882673379,0.259698534777812,5800941.90022667,9625858.85945869,0.376030130329173,5800941.90022667
"KNN_multi","pred_type",17303996.9440393,0.959688032828338,0.00226131549535501,0.955255854457442,0.964120211199234,0.603103312066409,0.00881446377433635,0.585826963068709,0.620379661064108,0.356584720761929,7232740.58391023,7926760.40120947,0.477109410857901,7232740.58391023
"random_forest","pred_type",16154578.4770148,0.897365270515512,0.00609019071281392,0.885428496718397,0.909302044312627,0.640052147478792,0.00928101140861165,0.621861365117914,0.658242929839671,0.25731312303672,6382672.01725446,7056132.41196665,0.474943440904317,6382672.01725446
"Naive_Bayes","pred_type",16855319.7901801,0.831115881700342,0.00707892499970797,0.817241188700914,0.84499057469977,0.643716284090333,0.00893989789467832,0.626194084216764,0.661238483963903,0.187399597610009,6141247.29273648,8121309.19446127,0.430585309039718,6141247.29273648
"ridge_class","pred_type",18426089.2465626,0.872841650474862,0.00431526726871655,0.864383726628178,0.881299574321546,0.575834981425751,0.00895761721721366,0.558278051680012,0.593391911171489,0.297006669049111,5792863.47881726,9821895.23110309,0.370986422936971,5792863.47881726
