"Method","Variable","Pop_Predicted","Predicted_Leave_Num","Predicted_SE","Predicted_CI_low","Predicted_CI_high","Actual_Leave_Num","Actual_SE","Actual_CI_low","Actual_CI_high","Leave_Num_Difference","Correct_Num_Leaves","Incorrect_Num_Leaves","Accuracy","Rand_Accuracy","Adj_Accuracy"
"logit","pred_type",19279225.9740694,26063425.9152266,586076.73848787,24914715.5077904,27212136.3226629,28467574.4966777,642765.432064096,27207754.2498321,29727394.7435234,-2404148.5814511,11905516.3524009,18996110.7721324,0.385271503808579,0.142857142857143,0.242414360951436
"random","pred_type",20027409.4017726,26740942.5995158,616360.663057598,25532875.6999229,27949009.4991087,28467574.4966777,642765.432064096,27207754.2498321,29727394.7435234,-1726631.89716194,12436388.7761989,18465238.3483345,0.402450936518014,0.142857142857143,0.259593793660871
"KNN1","pred_type",23074280.957107,23531853.538303,411931.66757856,22724467.469849,24339239.606757,28467574.4966777,642765.432064096,27207754.2498321,29727394.7435234,-4935720.95837473,13635168.9276694,17266458.196864,0.44124436790075,0.142857142857143,0.298387225043607
"KNN_multi","pred_type",14124614.3142987,14582186.8954947,341357.396514453,13913126.3983263,15251247.392663,28467574.4966777,642765.432064096,27207754.2498321,29727394.7435234,-13885387.601183,13110033.365455,17791593.7590784,0.424250584366372,0.142857142857143,0.28139344150923
"random_forest","pred_type",15658447.6109284,18498386.6261098,471378.607177514,17574484.5560418,19422288.6961777,28467574.4966777,642765.432064096,27207754.2498321,29727394.7435234,-9969187.87056796,13033632.9880448,17867994.1364886,0.421778210432716,0.142857142857143,0.278921067575573
"Naive_Bayes","pred_type",18452093.9679196,22937860.4862673,536532.148219311,21886257.4757575,23989463.4967772,28467574.4966777,642765.432064096,27207754.2498321,29727394.7435234,-5529714.01041038,11682075.1288798,19219551.9956536,0.378040777005077,0.142857142857143,0.235183634147934
"ridge_class","pred_type",18202753.6303809,22503415.1571997,580594.926953567,21365449.1003707,23641381.2140287,28467574.4966777,642765.432064096,27207754.2498321,29727394.7435234,-5964159.33947806,10182380.6459973,20719246.4785361,0.329509530516382,0.142857142857143,0.186652387659239
