"","id","longer_leave","length_illparent","length_illchild","length_own","prop_pay","unaffordable","take_bond","take_matdis","take_illparent","take_illchild","take_illspouse","take_own","emp_size","num_emp","paid_hrly","nochildren","lnfaminc","faminc","lnearn","fem_cu6","fem_c617","fem_cu6and617","fem_nochild","age","a_age","widowed","divorced","hiemp","separated","nevermarried","male","female","agesq","ltHS","someCol","BA","GradSch","black","white","asian","other","hisp","OCC","occ_1","occ_2","occ_3","occ_4","occ_5","occ_6","occ_7","occ_8","occ_9","occ_10","ind_1","ind_2","ind_3","ind_4","ind_5","ind_6","ind_7","ind_8","ind_9","ind_10","ind_11","ind_12","ind_13","weeks_worked","WAGP","WKHP","PWGTP","PWGTP1","PWGTP2","PWGTP3","PWGTP4","PWGTP5","PWGTP6","PWGTP7","PWGTP8","PWGTP9","PWGTP10","PWGTP11","PWGTP12","PWGTP13","PWGTP14","PWGTP15","PWGTP16","PWGTP17","PWGTP18","PWGTP19","PWGTP20","PWGTP21","PWGTP22","PWGTP23","PWGTP24","PWGTP25","PWGTP26","PWGTP27","PWGTP28","PWGTP29","PWGTP30","PWGTP31","PWGTP32","PWGTP33","PWGTP34","PWGTP35","PWGTP36","PWGTP37","PWGTP38","PWGTP39","PWGTP40","PWGTP41","PWGTP42","PWGTP43","PWGTP44","PWGTP45","PWGTP46","PWGTP47","PWGTP48","PWGTP49","PWGTP50","PWGTP51","PWGTP52","PWGTP53","PWGTP54","PWGTP55","PWGTP56","PWGTP57","PWGTP58","PWGTP59","PWGTP60","PWGTP61","PWGTP62","PWGTP63","PWGTP64","PWGTP65","PWGTP66","PWGTP67","PWGTP68","PWGTP69","PWGTP70","PWGTP71","PWGTP72","PWGTP73","PWGTP74","PWGTP75","PWGTP76","PWGTP77","PWGTP78","PWGTP79","PWGTP80","FER","WKW","COW","ESR","partner","ndep_kid","ndep_old","empgov_fed","empgov_st","wkhours","empgov_loc","weeks_worked_cat","length_illspouse","length_matdis","length_bond","pay_schedule","total_length","total_leaves","exhausted_by","eligworker","benefit_prop","benefit_prop_temp","particip","orig_len_own","orig_len_illspouse","orig_len_illchild","orig_len_illparent","orig_len_matdis","orig_len_bond","extend_flag","fmla_constrain_flag","particip_length","plen_own","plen_illspouse","plen_illchild","plen_illparent","plen_matdis","plen_bond","DI_plen","PFL_plen","base_benefits","base_leave_pay","actual_leave_pay","actual_benefits","bene_effect_flg","topoff_flg","reduce","ptake_PFL","ptake_DI","bene_DI","bene_PFL","bene_own","ptake_own","bene_illspouse","ptake_illspouse","bene_illchild","ptake_illchild","bene_illparent","ptake_illparent","bene_matdis","ptake_matdis","bene_bond","ptake_bond"
"90",260,0,0,0,0,0,1,0,0,0,0,0,0,110,1,1,0,11.2187129449874,10800,9.25916220703315,NA,NA,NA,NA,69,69,0,0,0,0,1,0,1,4761,0,0,0,0,1,0,0,0,0,8965,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,50,10800,30,19,16,0,17,17,38,36,0,0,41,19,0,42,35,21,18,0,13,21,23,12,20,44,19,20,0,0,35,33,0,21,21,0,0,18,25,32,22,15,14,19,19,27,24,16,0,0,36,41,0,11,47,0,0,14,13,34,18,22,16,15,28,0,17,20,45,34,0,0,30,23,0,31,27,22,24,0,22,14,21,23,NA,1,2,1,0,0.378571428571429,0.221428571428571,0,0,30,0,51,0,0,0,"no pay",0,0,NA,0,0.4,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91",263,0,0,0,0,0.625,1,0,0,0,0,0,0,55384,1,0,1,13.0699314787561,474459.470759034,12.8276510620836,NA,NA,NA,NA,59,59,0,0,1,0,0,1,0,3481,0,0,0,1,0,1,0,0,0,2100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,52,383000,40,5,4,8,4,4,5,1,5,2,5,4,2,5,8,1,1,8,5,5,8,1,5,1,5,5,4,9,5,9,4,5,8,5,2,7,8,1,5,4,1,8,5,8,5,5,5,2,6,1,5,5,1,5,9,1,1,8,4,5,9,2,5,1,4,5,5,8,6,8,5,5,9,5,1,8,9,2,5,5,2,10,NA,1,1,1,0,0,0,0,0,40,0,51,0,0,0,"some pay, all weeks",0,0,NA,1,0.7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92",265,1,0,0,0,0,1,0,0,0,0,0,0,13222,1,1,0,11.2187129449874,104000,11.5240069720444,NA,NA,NA,NA,35,35,0,0,1,0,0,1,0,1225,0,0,1,0,0,1,0,0,0,50,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,52,104000,45,12,20,4,20,11,4,3,3,11,16,3,12,11,13,12,18,19,12,12,12,10,3,19,3,12,21,21,22,12,3,18,13,11,11,12,3,4,12,12,12,12,3,18,3,14,18,23,20,12,3,22,13,11,11,11,4,4,9,11,10,10,21,4,20,12,4,3,3,11,19,4,10,12,11,13,20,20,10,12,13,10,NA,1,1,1,0,0,0,0,0,45,0,51,0,0,0,"no pay",0,0,NA,1,0.7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93",266,1,0,0,68,0.125,0,0,0,0,0,0,1,46815,2,0,0,11.2187129449874,25000,10.0984918977712,0,0,0,1,30,30,0,0,1,0,0,0,1,900,0,0,1,0,0,0,0,0,1,5240,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,52,25000,40,19,9,20,26,7,5,32,18,15,42,18,38,18,20,17,7,38,7,16,19,30,5,14,30,7,9,22,21,33,26,20,26,16,20,17,6,21,6,18,21,23,9,15,24,6,7,36,17,22,33,14,31,20,21,25,11,20,4,21,20,27,4,22,43,5,7,29,18,13,33,29,35,19,19,21,6,13,6,21,16,26,2,1,1,1,1,0,0,0,0,40,0,51,0,0,0,"some pay, all weeks",68,1,NA,0,0.5,0.7,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,817.307692307692,817.307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94",267,0,0,0,0,0,0,0,0,0,0,0,0,34006,1,0,0,11.2187129449874,45000,10.6862785626733,NA,NA,NA,NA,32,32,0,0,1,0,0,1,0,1024,0,0,1,0,0,1,0,0,0,710,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,52,45000,40,37,11,32,61,13,11,77,44,40,67,36,60,34,35,31,9,44,15,40,38,67,12,30,49,12,9,58,35,40,60,34,57,32,46,39,10,32,14,46,33,52,14,47,68,10,11,76,40,40,60,31,63,38,28,46,16,42,9,33,39,66,9,43,69,11,11,54,41,33,51,38,63,39,32,42,13,34,10,33,30,60,NA,1,1,1,1,0,0,0,0,40,0,51,0,0,0,"no pay",0,0,NA,1,0.5,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95",269,0,23,0,0,0,0,0,0,1,0,0,0,72220,1,0,0,11.2187129449874,73000,11.1700755140514,0,0,0,1,50,50,0,0,1,0,0,0,1,2500,0,1,0,0,0,1,0,0,0,3255,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,52,73000,40,12,3,19,15,14,13,4,20,14,12,4,9,3,4,19,19,11,13,13,12,21,4,20,11,14,13,4,17,13,11,4,12,4,4,19,19,12,13,15,14,4,22,4,15,12,11,24,4,14,12,24,12,22,21,4,4,13,12,11,13,4,18,4,15,12,11,21,4,12,12,18,11,18,23,3,5,13,9,11,10,22,2,1,2,1,1,0,0,0,0,40,0,51,0,0,0,"no pay",23,1,NA,1,0.6,0.7,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96",274,1,0,0,0,0,1,0,0,0,0,0,0,790,1,1,0,10.7508170838109,46668.144664823,10.7508170838109,NA,NA,NA,NA,36,36,0,0,1,0,0,1,0,1296,0,1,0,0,0,1,0,0,0,1107,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,52,48000,40,13,4,10,20,13,21,3,10,19,22,14,12,11,13,12,3,12,18,3,12,19,20,11,4,12,3,18,13,3,4,13,14,13,13,13,18,13,4,19,12,20,21,14,3,12,3,17,11,3,4,12,12,13,12,12,17,10,4,18,12,3,4,12,21,12,18,3,13,20,19,13,11,13,13,14,4,14,20,4,13,4,NA,1,2,1,1,1,0,0,0,40,0,51,0,0,0,"no pay",0,0,NA,1,0.5,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97",275,0,0,0,0,1,0,0,0,0,0,0,0,121,1,1,0,10.7508170838109,46668.144664823,10.6862785626733,0,0,0,1,30,30,0,0,1,0,0,0,1,900,0,1,0,0,0,1,0,0,0,3255,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,52,45000,30,15,4,15,25,15,22,5,16,25,27,17,14,17,18,14,5,16,27,4,15,23,27,14,3,16,4,24,17,4,5,16,18,17,17,16,23,17,6,28,18,26,27,17,5,16,5,23,15,4,4,19,17,14,15,16,23,17,4,22,17,4,4,17,27,15,21,5,16,23,27,13,14,17,16,20,5,19,30,4,17,5,2,1,2,1,1,1,0,0,0,30,0,51,0,0,0,"all pay, all weeks",0,0,NA,1,0.5,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98",279,0,0,0,0,1,0,0,0,0,0,0,0,36090,1,0,0,11.7624179954893,128337.397828263,11.0384991562626,0,0,1,0,37,37,0,0,1,0,0,0,1,1369,0,0,1,0,0,1,0,0,0,430,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,52,64000,40,13,4,14,13,12,21,12,14,4,23,5,4,14,12,18,24,4,13,13,13,4,19,13,13,12,4,13,15,22,4,21,26,13,12,4,4,22,13,15,13,20,4,13,12,12,21,12,14,4,21,3,4,13,13,21,22,4,14,13,13,3,22,13,12,14,4,14,14,22,4,21,24,14,11,4,4,24,14,12,12,21,2,1,2,1,0,2,0,0,0,40,0,51,0,0,0,"all pay, all weeks",0,0,NA,1,0.6,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99",280,1,135,0,0,1,1,0,0,1,0,0,0,2,1,0,0,11.2187129449874,51000,10.8114417056273,0,0,0,1,59,59,0,1,1,0,0,0,1,3481,0,1,0,0,0,1,0,0,0,5700,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,52,51000,40,20,31,20,34,36,32,30,19,22,34,33,17,35,33,19,19,18,21,33,20,19,7,18,6,8,6,7,20,23,6,6,18,6,6,20,19,18,22,7,20,19,33,18,36,34,32,38,23,23,39,33,21,36,32,20,20,19,19,33,19,22,5,19,5,6,7,6,23,20,6,6,21,6,7,21,21,18,18,5,20,18,NA,1,2,1,0,0,0,0,0,40,0,51,0,0,0,"all pay, all weeks",135,1,NA,1,0.6,0.7,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26480.7692307692,26480.7692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
