"Method","Variable","Total_Predictions","True_Positives","True_Negatives","False_Positives","False_Negatives","Predicted_Mean","Predicted_SE","Predicted_CI_low","Predicted_CI_high","Actual_Mean","Actual_SE","Actual_CI_low","Actual_CI_high","Precision","Recall","Accuracy","Actual_Positives","Actual_Negatives","Predicted_Positives","Predicted_Negatives","Positives_Diff","Negatives_Diff","Rand_TP","Rand_TN","Rand_FP","Rand_FN","Rand_Precision","Rand_Recall","Rand_Accuracy","Precision_Index","Recall_Index","Accuracy_Index"
"Naive_Bayes","need_illspouse",19123146,0,18237709,363150,522288,0.0189,0.00182,0.0153,0.0225,0.0189,0.0013,0.0144,0.0195,0,0,0.95,522288,18600859,363150,18759997,159138,-159138,9918.28892589117,18247628.242624,353230.757375956,512369.711074109,0.0273118958369704,0.0189900762144471,0.954735459155856,-0.0273118958369704,-0.0189900762144471,-0.00473545915585627
"Naive_Bayes","need_illchild",20262271,0,19754668,335298,172306,0.018,0.00221,0.0137,0.0223,0.018,0.0012,0.0053,0.0098,0,0,0.97,172306,20089966,335298,19926974,-162992,162992,2851.30216588259,19757520.2771142,332445.72288575,169454.697834117,0.00850380991433943,0.0165478983081413,0.97522980538807,-0.00850380991433943,-0.0165478983081413,-0.00522980538806961
"Naive_Bayes","need_illparent",27735829,261875,25521309,1346343,606301,0.0601,0.00427,0.0517,0.0685,0.0601,0.0026,0.0303,0.0406,0.16,0.3,0.93,868176,26867652,1608218,26127610,-740042,740042,50339.8066943663,25309772.8959794,1557879.10402058,817836.193305634,0.0313015885828549,0.0579834119975285,0.914344893639872,0.128698411417145,0.242016588002471,0.015655106360128
"Naive_Bayes","need_matdis",10106186,0,9215931,540381,349874,0.0596,0.00886,0.0422,0.0769,0.0596,0.0019,0.0104,0.0177,0,0,0.91,349874,9756312,540381,9565805,-190507,190507,18707.8747604685,9234638.87476047,521673.125239532,331166.125239532,0.034619786336804,0.0534703200594171,0.915612155715414,-0.034619786336804,-0.0534703200594171,-0.00561215571541374
"Naive_Bayes","need_bond",15399602,0,13771561,81368,1546673,0.0053,0.00081,0.0037,0.0069,0.0053,0.0073,0.0373,0.0658,0,0,0.89,1546673,13852929,81368,15318234,1465305,-1465305,8172.26891084588,13779733.2689108,73195.7310891543,1538500.73108915,0.100435907369554,0.00528377291828711,0.895341680766924,-0.100435907369554,-0.00528377291828711,-0.00534168076692443
"Naive_Bayes","pred_need",30901627,568196,23208011,3739175,3386246,0.1534,0.00698,0.1397,0.1671,0.1534,0.0076,0.1155,0.1452,0.13,0.14,0.77,3954442,26947186,4307371,26594257,-352929,352929,551208.801788398,23191024.5344299,3756161.46557008,3403233.1982116,0.127968752991934,0.1393897803504,0.768316586304719,0.00203124700806606,0.000610219649599703,0.00168341369528113
"Naive_Bayes","resp_len",27841352,6218832,8621554,5363885,7637081,0.416,0.00685,0.4026,0.4295,0.416,0.0074,0.4599,0.4891,0.54,0.45,0.53,13855913,13985439,11582717,16258635,2273196,-2273196,5764415.42981178,8167137.42981178,5818301.57018822,8091497.57018822,0.497673855781142,0.416025665707614,0.500390672824493,0.0423261442188584,0.0339743342923864,0.0296093271755066
"ridge_class","pred_leave",30901627,14510809,3563557,3826780,9000480,0.5934,0.0081,0.5775,0.6093,0.5934,0.0079,0.7453,0.7764,0.79,0.62,0.58,23511289,7390337,18337589,12564037,5173700,-5173700,13952027.6567386,3004776.01099997,4385560.98900003,9559261.34326138,0.760843092637528,0.59341823652198,0.548734997560924,0.0291569073624716,0.0265817634780201,0.0312650024390757
"ridge_class","need_own",20262271,0,19608741,430035,223495,0.0267,0.00165,0.0234,0.0299,0.0267,0.0012,0.0075,0.0121,0,0,0.97,223495,20038776,430035,19832236,-206540,206540,4743.33169885054,19613484.3316988,425291.66830115,218751.668301149,0.0110301061514773,0.0212234354184681,0.968214651921184,-0.0110301061514773,-0.0212234354184681,0.00178534807881603
"ridge_class","need_illspouse",19123146,0,18207925,392934,522288,0.0204,0.00191,0.0167,0.0242,0.0204,0.0013,0.0144,0.0195,0,0,0.95,522288,18600859,392934,18730213,129354,-129354,10731.7442952117,18218657.6964359,382201.30356412,511556.255704788,0.02731189029194,0.0205475605321426,0.953263050309193,-0.02731189029194,-0.0205475605321426,-0.00326305030919305
"ridge_class","need_illchild",20262271,0,19994365,95601,172306,0.0034,0.00077,0.0019,0.0049,0.0034,0.0012,0.0053,0.0098,0,0,0.99,172306,20089966,95601,20166671,76705,-76705,812.970367734199,19995178.9571458,94787.0428541787,171493.029632266,0.00850387296335493,0.00471817793770501,0.986858330966713,-0.00850387296335493,-0.00471817793770501,0.00314166903328739
"ridge_class","need_illparent",27735829,261875,25353108,1514544,606301,0.0662,0.00434,0.0576,0.0747,0.0662,0.0026,0.0303,0.0406,0.15,0.3,0.92,868176,26867652,1776419,25959409,-908243,908243,55604.7681770752,25146836.8635265,1720815.13647348,812571.231822925,0.0313015903680799,0.0640478061787877,0.908660150030625,0.11869840963192,0.235952193821212,0.0113398499693755
"ridge_class","need_matdis",10106186,0,9596215,160097,349874,0.0222,0.00262,0.017,0.0273,0.0222,0.0019,0.0104,0.0177,0,0,0.95,349874,9756312,160097,9946089,189777,-189777,5542.52393316331,9601757.52393316,154554.476066837,344331.476066837,0.0346197863368039,0.0158414856009973,0.950635585755727,-0.0346197863368039,-0.0158414856009973,-0.000635585755726864
"ridge_class","need_bond",15399602,0,13588036,264893,1546673,0.0171,0.0023,0.0126,0.0216,0.0171,0.0073,0.0373,0.0658,0,0,0.88,1546673,13852929,264893,15134709,1281780,-1281780,26604.7688108433,13614640.7688108,238288.231189156,1520068.23118916,0.100435907369554,0.0172012887086303,0.88581805800057,-0.100435907369554,-0.0172012887086303,-0.00581805800056967
"ridge_class","pred_need",30901627,441017,23890150,3057035,3513424,0.1153,0.00495,0.1056,0.125,0.1153,0.0076,0.1155,0.1452,0.13,0.11,0.79,3954441,26947185,3498052,27403574,456389,-456389,447641.163001935,23896773.4041703,3050411.59582973,3506799.83699807,0.127968671104734,0.113199605962495,0.787803676323447,0.00203132889526644,-0.00319960596249511,0.00219632367655331
"ridge_class","resp_len",27841352,6384970,7649204,6336235,7470943,0.4569,0.00871,0.4399,0.474,0.4569,0.0074,0.4599,0.4891,0.5,0.46,0.5,13855913,13985439,12721205,15120147,1134708,-1134708,6331011.14253234,7595245.14253234,6390193.85746766,7524901.85746766,0.497673855781142,0.456917645378716,0.500200431540274,0.00232614421885835,0.0030823546212842,-0.000200431540274271
