"Method","Variable","Total_Predictions","True_Positives","True_Negatives","False_Positives","False_Negatives","Precision","Recall","Accuracy","Actual_Positives","Actual_Negatives","Rand_TP","Rand_TN","Rand_FP","Rand_FN","Rand_Precision","Rand_Recall","Rand_Accuracy","Precision_Index","Recall_Index","Accuracy_Index","Predicted_Positives","Predicted_Negatives","Positives_Diff","Negatives_Diff"
"logit","take_own",3859,1021,1076,887,875,0.535,0.539,0.54,1896,1963,270.132417724799,300.019694221301,1662.9803057787,1625.8675822752,0.139739609822247,0.142474903863291,0.147746077208111,0.395260390177753,0.396525096136709,0.392253922791889,1908,1951,-12,12
"logit","take_illspouse",2809,25,2357,220,207,0.102,0.108,0.85,232,2577,0.22249911000356,1977.73193307227,599.268066927732,231.777500889996,0.000371146974795854,0.000959047887946379,0.704148961261043,0.101628853025204,0.107040952112054,0.145851038738957,245,2564,-13,13
"logit","take_illchild",3859,11,3516,159,173,0.065,0.06,0.91,184,3675,0.0313552733868878,3203.48691370821,471.513086291785,183.968644726613,6.64948425281229e-05,0.000170409094493955,0.830142075403369,0.0649335051574719,0.059829590905506,0.0798579245966309,170,3689,14,-14
"logit","take_illparent",3859,28,3274,301,256,0.085,0.099,0.86,284,3575,0.203161440787769,2777.68230111428,797.317698885722,283.796838559212,0.000254741224830901,0.000715357185872426,0.719845934841945,0.0847452587751691,0.0982846428141276,0.140154065158055,329,3530,-45,45
"logit","take_matdis",1049,99,641,155,154,0.39,0.391,0.71,253,796,9.34318398474738,391.688274547188,404.311725452812,243.656816015253,0.0225869046192421,0.0369295809673809,0.38229881652234,0.367413095380758,0.354070419032619,0.327701183477659,254,795,-1,1
"logit","take_bond",634,0,601,23,10,0,0,0.95,10,624,0,569.717665615142,54.282334384858,10,0,0,0.898608305386659,0,0,0.0513916946133407,23,611,-13,13
"logit","need_own",3867,76,2911,440,440,0.147,0.147,0.77,516,3351,1.4936643392811,2191.34238427722,1159.65761572278,514.506335660719,0.00128636497666459,0.00289469833194011,0.567063886376131,0.145713635023335,0.14410530166806,0.202936113623869,516,3351,0,0
"logit","need_illspouse",2813,3,2667,66,77,0.043,0.037,0.95,80,2733,0.00319943121222894,2528.57767507999,204.422324920014,79.9968005687878,1.56508401892708e-05,3.99928901528617e-05,0.898891174728474,0.0429843491598107,0.0369600071098471,0.0511088252715257,69,2744,11,-11
"logit","need_illchild",3867,3,3679,89,96,0.033,0.03,0.95,99,3768,0.00232738557020946,3500.13990173261,267.860098267391,98.9976726144298,8.68873476575171e-06,2.3508945153631e-05,0.905131168636716,0.0329913112652342,0.0299764910548464,0.0448688313632842,92,3775,7,-7
"logit","need_illparent",3867,8,3505,181,173,0.042,0.044,0.91,181,3686,0.0165502973881562,3176.88776829584,509.112231704164,180.983449702612,3.25070944193953e-05,9.14381071168851e-05,0.821542363225556,0.0419674929055806,0.0439085618928831,0.0884576367744442,189,3678,-8,8
"logit","need_matdis",1044,0,1004,21,19,0,0,0.96,19,1025,0,965.532567049808,59.4674329501916,19,0,0,0.924839623610928,0,0,0.0351603763890723,21,1023,-2,2
"logit","need_bond",1689,8,1594,44,43,0.154,0.157,0.95,51,1638,0.0378922439313203,1504.34339846063,133.656601539372,50.9621077560687,0.000283424117621009,0.000742985175123928,0.890693481767057,0.153716575882379,0.156257014824876,0.0593065182329431,52,1637,-1,1
"logit","resp_len",3880,779,1243,924,934,0.457,0.455,0.52,1713,2167,156.402319587629,398.208505154639,1768.79149484536,1556.59768041237,0.0812397787771267,0.0913031637989661,0.142940934211925,0.375760221222873,0.363696836201034,0.377059065788075,1703,2177,10,-10
"Naive_Bayes","take_own",3749,887,657,1267,938,0.4118,0.486,0.41,1825,1924,209.861029607895,115.137103227527,1808.86289677247,1615.1389703921,0.103957270662652,0.114992344990628,0.0866892858990191,0.307842729337348,0.371007655009372,0.323310714100981,2154,1595,-329,329
"Naive_Bayes","take_illspouse",2773,0,2439,102,232,0,0,0.88,232,2541,0,2145.22935448972,395.770645510278,232,0,0,0.773613182289839,0,0,0.106386817710161,102,2671,130,-130
"Naive_Bayes","take_illchild",3749,7,3490,81,171,0.0795,0.039,0.93,178,3571,0.0130701520405441,3248.8930381435,322.106961856495,177.986929847959,4.05754089835611e-05,7.34278204524952e-05,0.866606057160722,0.0794594245910164,0.0389265721795475,0.0633939428392785,88,3661,90,-90
"Naive_Bayes","take_illparent",3749,229,495,2981,44,0.0713,0.839,0.19,273,3476,13.9879967991464,65.3574286476394,3410.64257135236,259.012003200854,0.00408452722732562,0.0512380835133569,0.0211644239655337,0.0672154727726744,0.787761916486643,0.168835576034466,3210,539,-2937,2937
"Naive_Bayes","take_matdis",1039,54,448,338,199,0.1378,0.213,0.48,253,786,2.8065447545717,193.170356111646,592.829643888354,250.193455245428,0.00471184392097805,0.0110930622710344,0.188620693807717,0.133088156079022,0.201906937728966,0.291379306192283,392,647,-139,139
"Naive_Bayes","take_bond",626,0,604,12,10,0,0,0.96,10,616,0,582.773162939297,33.2268370607029,10,0,0,0.930947544631465,0,0,0.029052455368535,12,614,-2,2
"Naive_Bayes","need_own",3754,333,759,2489,173,0.118,0.658,0.29,506,3248,29.5388918486947,153.457911561002,3094.542088439,476.461108151305,0.00945522604410034,0.0583772566179738,0.0487471506152627,0.1085447739559,0.599622743382026,0.241252849384737,2822,932,-2316,2316
