"Method","Variable","Total_Predictions","True_Positives","True_Negatives","False_Positives","False_Negatives","Precision","Recall","Accuracy","Actual_Positives","Actual_Negatives","Predicted_Positives","Predicted_Negatives","Positives_Diff","Negatives_Diff","Rand_TP","Rand_TN","Rand_FP","Rand_FN","Rand_Precision","Rand_Recall","Rand_Accuracy","Precision_Index","Recall_Index","Accuracy_Index"
"Naive_Bayes","need_illspouse",5.2e+07,20000,4.5e+07,5700000,1400000,0.0035,0.014,0.86,1420000,50700000,5720000,46400000,-4300000,4300000,7.69230769230769,38942307.6923077,11757692.3076923,1419992.30769231,6.54235751236015e-07,5.41711809317443e-06,0.747166450203672,0.00349934576424876,0.0139945828819068,0.112833549796328
"Naive_Bayes","need_illchild",7.4e+07,340000,5e+07,2.2e+07,2e+06,0.0153,0.145,0.68,2340000,7.2e+07,22340000,5.2e+07,-2e+07,2e+07,1562.16216216216,33783783.7837838,38216216.2162162,2338437.83783784,4.08752739810211e-05,0.000667590667590668,0.454470620741807,0.015259124726019,0.144332409332409,0.225529379258193
"Naive_Bayes","need_illparent",7.4e+07,1300000,4.1e+07,3e+07,1900000,0.0425,0.415,0.57,3200000,7.1e+07,31300000,42900000,-28100000,28100000,22837.8378378378,22716216.2162162,48283783.7837838,3177162.16216216,0.000472768268017646,0.00713682432432432,0.306456254097764,0.0420272317319824,0.407863175675676,0.263543745902236
"Naive_Bayes","need_matdis",2.3e+07,21000,2.1e+07,1100000,570000,0.0191,0.036,0.93,591000,22100000,1121000,21570000,-530000,530000,19.1739130434783,19173913.0434783,2926086.95652174,590980.826086957,6.55270594735033e-06,3.2443169278305e-05,0.845001640182949,0.0190934472940526,0.0359675568307217,0.0849983598170506
"Naive_Bayes","need_bond",3.9e+07,0,3.7e+07,780000,1800000,0,0,0.93,1800000,37780000,780000,38800000,1020000,-1020000,0,35102564.1025641,2677435.8974359,1800000,0,0,0.886876303753514,0,0,0.0431236962464856
"Naive_Bayes","resp_len",7.4e+07,2.2e+07,1.3e+07,2.7e+07,1.2e+07,0.4451,0.644,0.47,3.4e+07,4e+07,4.9e+07,2.5e+07,-1.5e+07,1.5e+07,6540540.54054054,2283783.78378378,37716216.2162162,27459459.4594595,0.147786259541985,0.192368839427663,0.119247626004383,0.297313740458015,0.451631160572337,0.350752373995617
"ridge_class","take_own",7.4e+07,1.7e+07,2.3e+07,1.7e+07,1.6e+07,0.497,0.52,0.55,3.3e+07,4e+07,3.4e+07,3.9e+07,-1e+06,1e+06,3905405.40540541,7148648.64864865,32851351.3513514,29094594.5945946,0.10625,0.118345618345618,0.15142539800074,0.39075,0.401654381654382,0.39857460199926
"ridge_class","take_illspouse",5.2e+07,390000,4.5e+07,3400000,3100000,0.105,0.114,0.88,3490000,48400000,3790000,48100000,-3e+05,3e+05,2925,38942307.6923077,9457692.3076923,3487075,0.000309176442178009,0.00083810888252149,0.75053445157656,0.104690823557822,0.113161891117479,0.12946554842344
"ridge_class","take_illchild",7.4e+07,260000,6.7e+07,3500000,3300000,0.069,0.073,0.91,3560000,70500000,3760000,70300000,-2e+05,2e+05,913.513513513514,60662162.1621622,9837837.83783784,3559086.48648649,9.28485212087449e-05,0.000256604919526268,0.819107151980498,0.0689071514787913,0.0727433950804737,0.0908928480195019
"ridge_class","take_illparent",7.4e+07,590000,6.4e+07,5300000,3800000,0.1,0.133,0.88,4390000,69300000,5890000,67800000,-1500000,1500000,4704.05405405405,55351351.3513514,13948648.6486486,4385295.94594595,0.000337127151752059,0.00107153850889614,0.751201728937514,0.0996628728482479,0.131928461491104,0.128798271062486
